timestamp,supply
1428366005,14025950
1428669150,14038000
1428957291,14049900
1429257000,14061650
1429544637,14073575
1429822506,14085425
1430102117,14097100
1430401741,14108950
1430688515,14120875
1430969380,14132700
1431265979,14144675
1431536581,14156725
1431822466,14168750
1432097093,14180500
1432379935,14192275
1432681599,14204175
1432977195,14215950
1433253627,14227500
1433536159,14239275
1433797545,14251250
1434067459,14263125
1434346061,14275250
1434642312,14287175
1434933394,14298925
1435209208,14310825
1435492098,14322700
1435778360,14334375
1436044862,14346175
1436315662,14358175
1436585966,14369850
1436868573,14381575
1437147297,14393100
1437416387,14404725
1437703361,14416750
1437970368,14428975
1438258420,14440700
1438530187,14452725
1438819260,14464475
1439097347,14476125
1439351958,14487850
1439647942,14499500
1439935320,14511350
1440196293,14523225
1440469248,14534950
1440755716,14546950
1441018205,14559100
1441290977,14570900
1441557939,14582850
1441841745,14594600
1442109465,14606550
1442371388,14618250
1442660697,14630075
1442954852,14641825
1443225574,14653725
1443502210,14665675
1443777805,14677600
1444049590,14689325
1444337493,14701150
1444621182,14712975
1444898258,14724675
1445178973,14736325
1445461011,14748350
1445738384,14760300
1446006499,14772200
1446266251,14783825
1446534741,14795600
1446807170,14807400
1447086427,14819150
1447345008,14830875
1447604395,14842650
1447866280,14854550
1448128056,14866500
1448366593,14877975
1448617304,14889425
1448891312,14901075
1449137202,14912800
1449395442,14924625
1449644714,14936300
1449867321,14947750
1450111724,14959375
1450336169,14970875
1450589205,14982550
1450844970,14994050
1451108164,15005600
1451334393,15017375
1451591954,15029000
1451871043,15040500
1452118050,15052050
1452377923,15063600
1452605293,15075000
1452887909,15086375
1453145533,15097600
1453419115,15109000
1453652305,15120425
1453885856,15131825
1454132892,15143350
1454356308,15154775
1454587134,15166550
1454801743,15177950
1455039052,15189425
1455259990,15200825
1455506607,15212350
1455768187,15223600
1456031475,15235100
1456327121,15246425
1456602693,15257750
1456886450,15269150
1457146536,15280425
1457422636,15291625
1457662335,15302950
1457935967,15314175
1458185603,15325475
1458462455,15336700
1458738009,15348025
1458997756,15359325
1459250798,15370550
1459525718,15381825
1459785142,15393275
1460045673,15404600
1460290113,15415825
1460540164,15427150
1460801905,15438450
1461067160,15449700
1461326348,15460900
1461609206,15472225
1461894211,15483575
1462148163,15494925
1462399920,15506275
1462645310,15517550
1462880025,15528800
1463153091,15540125
1463428667,15551375
1463707973,15562700
1463958847,15573975
1464207209,15585275
1464490233,15596550
1464776814,15607800
1465057808,15619125
1465310636,15630350
1465565704,15641625
1465818604,15652875
1466082601,15664150
1466329195,15675350
1466588576,15686800
1466862651,15698000
1467123492,15709175
1467383350,15720750
1467648298,15732125
1467925461,15743450
1468188629,15752375
